iter	Passed	Remaining
0	8	8186
1	12	6486
2	17	5820
3	21	5351
4	25	4992
5	29	4912
6	34	4929
7	38	4796
8	43	4801
9	47	4673
10	52	4675
11	56	4621
12	66	5045
13	70	4987
14	75	4969
15	80	4964
16	87	5038
17	91	5017
18	99	5123
19	105	5172
20	114	5360
21	120	5342
22	124	5309
23	132	5389
24	142	5558
25	146	5469
26	150	5419
27	156	5446
28	165	5553
29	169	5482
30	177	5556
31	182	5526
32	188	5511
33	194	5538
34	199	5512
35	206	5540
36	211	5510
37	216	5492
38	223	5517
39	228	5484
40	232	5429
41	236	5392
42	241	5366
43	247	5381
44	251	5340
45	258	5353
46	261	5305
47	265	5271
48	270	5247
49	278	5296
50	282	5257
51	287	5236
52	291	5217
53	296	5194
54	301	5178
55	305	5148
56	311	5146
57	314	5111
58	323	5159
59	327	5126
60	331	5102
61	335	5076
62	338	5038
63	343	5020
64	347	4994
65	356	5050
66	360	5025
67	364	4995
68	369	4981
69	373	4966
70	378	4953
71	382	4928
72	389	4950
73	396	4964
74	406	5017
75	410	4987
76	414	4968
77	419	4955
78	423	4933
79	428	4922
80	431	4897
81	436	4886
82	441	4874
83	445	4860
84	449	4840
85	454	4830
86	458	4816
87	464	4817
88	469	4804
89	477	4829
90	484	4836
91	492	4856
92	496	4837
93	500	4823
94	504	4807
95	509	4793
96	513	4781
97	517	4758
98	520	4738
99	529	4763
100	533	4745
101	537	4729
102	542	4723
103	552	4758
104	560	4781
105	569	4805
106	576	4813
107	581	4801
108	586	4798
109	592	4794
110	601	4817
111	608	4821
112	610	4794
113	614	4779
114	619	4768
115	624	4762
116	630	4756
117	639	4780
118	643	4761
119	652	4785
120	655	4763
121	663	4774
122	669	4770
123	673	4759
124	682	4776
125	686	4758
126	691	4752
127	701	4780
128	708	4781
129	715	4788
130	719	4775
131	727	4783
132	731	4765
133	740	4783
134	746	4783
135	750	4769
136	755	4757
137	763	4771
138	768	4759
139	773	4748
140	778	4741
141	782	4725
142	786	4715
143	791	4703
144	795	4693
145	799	4678
146	805	4671
147	810	4664
148	814	4649
149	822	4658
150	826	4647
151	830	4634
152	834	4618
153	838	4603
154	841	4589
155	845	4574
156	849	4560
157	852	4543
158	856	4528
159	860	4520
160	865	4509
161	868	4493
162	872	4479
163	879	4483
164	886	4484
165	894	4494
166	899	4488
167	909	4502
168	914	4494
169	917	4479
170	922	4470
171	925	4455
172	929	4441
173	933	4429
174	941	4437
175	949	4447
176	954	4437
177	962	4443
178	965	4426
179	974	4438
180	978	4428
181	987	4437
182	991	4428
183	996	4417
184	999	4404
185	1008	4412
186	1014	4409
187	1018	4398
188	1022	4389
189	1025	4373
190	1033	4376
191	1039	4376
192	1044	4367
193	1049	4358
194	1053	4348
195	1060	4351
196	1066	4348
197	1073	4349
198	1076	4334
199	1085	4342
200	1090	4332
201	1093	4318
202	1097	4307
203	1104	4311
204	1109	4302
205	1116	4304
206	1121	4295
207	1126	4287
208	1131	4282
209	1134	4268
210	1141	4268
211	1150	4274
212	1154	4265
213	1158	4254
214	1162	4245
215	1167	4237
216	1172	4229
217	1191	4275
218	1215	4336
219	1244	4413
220	1280	4513
221	1299	4555
222	1345	4688
223	1371	4749
224	1397	4812
225	1422	4872
226	1427	4859
227	1479	5008
228	1481	4989
229	1514	5070
230	1529	5090
231	1533	5075
232	1538	5065
233	1548	5067
234	1552	5054
235	1557	5040
236	1562	5030
237	1568	5022
238	1578	5025
239	1582	5012
240	1587	4998
241	1591	4985
242	1595	4969
243	1603	4968
244	1607	4953
245	1612	4941
246	1616	4928
247	1625	4929
248	1630	4916
249	1634	4903
250	1638	4890
251	1642	4875
252	1647	4863
253	1652	4852
254	1655	4836
255	1661	4828
256	1668	4822
257	1671	4806
258	1676	4795
